Place,Movies,Latitude,Longitude
Bronxville Train Station,1,40.9413713,-73.8351057526324
Maldives,51,4.7064352,73.3287853
Democratic Republic Of Congo,217,-2.9814344,23.8222636
Bahrain,295,26.1551249,50.5344606
Gosford City,1,-33.4250175,151.3417318
Kazakhstan,178,47.2286086,65.2093197
Ontario,27,50.000678,-86.000977
Cape Verde,61,16.0000552,-24.0083947
Aruba,33,12.4902998,-69.9609842
Costa Rica,448,10.2735633,-84.0739102
Palestine,362,30.8760272,35.0015196
USSR,33,38.5671241,68.7947829
Trinidad and Tobago,137,10.8677845,-60.9821067
Ivory Coast,20,7.9897371,-5.5679458
Brasil,65,-10.3333333,-53.2
Madagascar,116,-18.9249604,46.4416422
Anza-Borrego Desert,1,33.09553545,-116.301897714978
Mozambique,211,-19.302233,34.9144977
The Netherlands,185,52.2379891,5.53460738161551
Bosnia and Herzegovina,123,44.3053476,17.5961467
Fiji,170,-18.1239696,179.0122737
Namibia,290,-23.2335499,17.3231107
CA 91352,1,34.2292317265914,-118.383349039143
Nicaragua,148,12.3724928,-84.8700308
Venezuela,698,8.0018709,-66.1109318
Persian Gulf,9,27.0000001,50.9999999
Cayman Islands,59,19.5417212,-80.5667132
Guyana,45,4.8417097,-58.6416891
Channel Islands,163,60.6167942,-145.7996671
Yemen,48,16.3471243,47.8915271
Ghana,294,8.0300284,-1.0800271
North Korea,83,40.3736611,127.0870417
Korea,66,36.5581914,127.9408564
Benin,53,9.5293472,2.2584408
Cameroon,94,4.6125522,13.1535811
Serbia and Montenegro,4,44.8201542,20.2920935
Brunei,3,4.4137155,114.5653908
Eleanor Roosevelt High School,2,38.9946354,-76.8695518944349
Southern USA,2,31.9909783,-102.0712974
Northern Mariana Islands,13,14.1490205,145.213452483189
Abu Dhabi,21,23.99764435,53.6439097569213
Angola,102,-11.8775768,17.5691241
Tajikistan,55,38.6281733,70.8156541
New York State,16,43.1561681,-75.8449946
Faroe Islands,68,62.19850045,-6.81741243341217
Gambia,25,13.470062,-15.4900464
Uzbekistan,107,41.32373,63.9528098
New South Wales,6,-31.8759835,147.2869493
London UK,2,51.5073219,-0.1276474
OR 97007,1,45.4605044702678,-122.849487407308
Northern Ireland,92,54.6294982,-6.7654416
Bermuda,78,32.3018217,-64.7603583
Soviet Union,27,50.772949,29.2447673
Guatemala,361,15.6356088,-89.8988087
London,14,51.5073219,-0.1276474
Eqypt,1,41.3570468,-75.2021983
Burkina Faso,116,12.0753083,-1.6880314
Surrey,1,51.2715316,-0.341452351129091
Papua New Guinea,122,-5.6816069,144.2489081
Albania,202,41.000028,19.9999619
Niger,91,17.7356214,9.3238432
Liechtenstein,13,47.1416307,9.5531527
Berlin,94,52.5170365,13.3888599
Somalia,45,8.3676771,49.083416
Istanbul,3,41.0096334,28.9651646
Guinea-Bissau,23,12.100035,-14.9000214
North Yorkshire,1,54.09159275,-1.53591125805015
St Vincent and the Grenadines,25,12.90447,-61.2765569
Scotland,47,56.7861112,-4.1140518
Grenada,41,12.1360374,-61.6904045
Faxe Ladeplads,1,55.22120605,12.1701839926322
Pacific Ocean,57,-0.703107,-120.9375
Bologna,7,44.4936714,11.3430347
Grand Duchy of Luxembourg,6,49.8158683,6.1296751
Arizona USA,6,34.395342,-111.7632755
New Caledonia,23,-20.4542886,164.55660583078
Barbados,87,13.1500331,-59.5250305
Cook Islands,34,-16.0492781,-160.3554851
Saint Lucia,11,13.8250489,-60.975036
Guam,28,13.5394645,144.8970036
Silent Green Kulturquartier Berlin,1,52.5460174,13.3665436
Co. Waterford,6,52.15087035,-7.65778594077624
Malawi,62,-13.2687204,33.9301963
Jammu & Kashmir,3,34.0476564,76.7972892
Democratic Republic of the Congo,33,-2.9814344,23.8222636
Liberia,58,5.7499721,-9.3658524
Borneo,39,1.42965855,114.740599198093
TN 37203,3,36.1500629,-86.7789727
Turks and Caicos Islands,24,21.7214683,-71.6201783
UT 84115,1,40.7626687,-111.89396
U.S. Virgin Islands,83,17.789187,-64.7080574
Mauritania,27,14.4750607,-14.4529612
South Sudan,24,7.8699431,29.6667897
New Guinea,21,-5.52275,142.073524709441
Arctic,38,42.1856379,-75.4143448
Mediterranean Sea,31,35.0000035,19.9999957
Gibraltar,61,36.140807,-5.3541295
Luxemburg,3,49.8158683,6.1296751
Republic Of Congo,17,-0.7264327,15.6419155
Czechoslovakia,49,41.2133453,-98.6228519
Montserrat,10,16.7417041,-62.1916844
6971 AB Brummen,1,52.08709,6.15697
Oman,71,21.0000287,57.0036901
Yongsan,1,37.5295725,126.9647783
Runion,24,-21.1309332,55.5265771
Guinea,58,10.7226226,-10.7083587
Okahoma,1,-28.7065339,114.6262974
Las Vegas Nevada USA,1,36.1662859,-115.149225
Careggi,1,43.8128187,11.2512843
North Cyprus,6,35.2244296,33.0695987
Baltic Sea,29,56.0,18.0
Co. Wexford,1,52.46018745,-6.60651545915916
Montreal,24,45.4972159,-73.6103642
Nevis Island,1,17.1508813,-62.5852896007
Columbia,15,2.8894434,-73.783892
Varde,1,55.6176702,8.4811757
Djibouti,17,11.85677545,42.7577845199437
Tibetan Plateau,1,31.85,87.4
USS Alabama,2,30.6819177,-88.0143709501599
NY 10538,1,13.524834,2.109823
England,86,52.7954791,-0.540240286617432
Bogra,1,55.0730397,-3.0510859
Avellino,1,40.9141958,14.7888764
KY,1,37.5726028,-85.1551411
Belguim,6,45.7910787,-97.7164362
Lisboa,19,38.7077507,-9.1365919
NJ,1,40.0757384,-74.4041622
Space,52,-35.26562945,149.130500824092
Paris France,18,48.8566101,2.3514992
NY 10543,4,13.524834,2.109823
Waterlooville,1,50.8797911,-1.0314789
GA 30318,1,33.7777806,-84.4742284
Israeli-Jordanian Border,1,32.7101871,35.6866426
Saudi Arabia,120,25.6242618,42.3528328
Swaziland,25,-26.5624806,31.3991317
Bosnia Herzegovina,7,44.3053476,17.5961467
the Netherlands,4,52.2379891,5.53460738161551
Snug Harbor Cultural Center and Botanical Garden,1,40.6414056,-74.1030002246338
Rome Italy,2,41.894802,12.4853384
Western Australia,14,-25.2303005,121.0187246
British Virgin Islands,45,18.4024395,-64.5661642
Tibet,5,32.0000002,89.9999998
Llanelli Town Hall,1,51.6817711,-4.16450595
Indian Ocean,14,-9.9999999,69.9999999
NC,2,35.6729639,-79.0392919
Macau,14,22.1757605,113.5514142
Iowa,1,41.9216734,-93.3122705
Bering Strait,3,65.9724933,-168.7921009
East Timor,30,-8.5151979,125.8375756
Dominica,22,15.4113138,-61.3653618
Argentinean Patagonia,1,10.29967995,-85.8411000441958
Falkland Islands,16,-34.9964963,-64.9672817
Hawai'i,4,21.2160437,-157.975203
Seychelles,69,-4.6574977,55.4540146
Basilicata. Italy,1,40.500571,16.081953
Lesotho,35,-29.6039267,28.3350193
Bosnia,16,44.3053476,17.5961467
Dauphin Island Sea Lab,1,30.2496469,-88.0772614
England UK,28,52.7954791,-0.540240286617432
Honolulu,4,21.3250785,-157.846644178573
Italia,29,42.6384261,12.674297
Kln,13,52.7538282,0.4034433
Newcastle Upon Tyne,23,54.9738474,-1.6131572
The Wakehurst Parkway - Sydney Australia,1,-33.7099264,151.2958017
Renfrewshire,1,55.833333,-4.5
North Hollywood,2,34.1729044,-118.3740371
The Artic Sea,1,33.3349447,-115.9938355
Chicago,1,41.8755616,-87.6244212
CA 91504,2,34.1978506199182,-118.333310398062
The Court Colman Manor,1,51.5249343,-3.6109611
Worldwide,13,53.45733965,-2.22695880505223
NY USA,1,43.1561681,-75.8449946
St Kitts and Nevis,10,17.3462278,-62.7687277
Trinidad & Tobago,16,10.8677845,-60.9821067
CA 91502,1,34.1794033691622,-118.314243630647
Seoul Olympic Park,1,37.51889315,127.120107231652
Republic of Korea,3,36.5581914,127.9408564
Washington DC USA,1,38.8950092,-77.0365625
Curacao,8,12.1845,-68.9640918594077
Wedding Stone. Bulgaria,1,41.6568251,25.3997598
Tisbury,1,51.0640005,-2.083025
Uk,12,54.7023545,-3.2765753
Nova Scotia Canada,2,45.1960403,-63.1653789
California,13,36.7014631,-118.7559974
Togo,23,8.7800265,1.0199765
18 Market Yard Mews Bermondsey Street London SE1 3TJ,1,51.4983814,-0.0813709
MD 21054,1,39.0421272256118,-76.6766433307681
South Australia,11,-30.5343665,135.6301212
Zagreb,1,45.813177,15.977048
New York,11,40.7308619,-73.9871558
Andorra,28,42.5407167,1.5732033
Tire,1,61.9209622,130.980697
Corsica,10,42.18808965,9.06841377142769
Chris Martin,1,30.781219,-81.638099
Co Kildare,5,53.15436455,-6.81841756609764
San Marino,14,43.9458623,12.458306
Ru de la Gar,1,48.6966198,142.8231764
Antwerp Belgium,1,51.2211097,4.3997081
Antigua and Barbuda,22,17.079128,-61.8222516
Cison de valmarino,1,45.9699873,12.1431366
Europe,25,51.0,10.0
Deep Creek Reserve - Sydney Australia,1,-33.7076713,151.274546536986
Enoch Alberta,1,53.5011687,-113.757593
Nevada.,1,39.5158825,-116.8537227
Molenbeek Saint-Jean,1,50.8543551,4.3227779
Durham,2,54.7764152,-1.5758539
St Lucia,29,13.8250489,-60.975036
PMC pune,1,18.502934,73.841918757561
Netherland,4,14.3516387,121.0501142
Chathams Islands,4,-43.9509492,-176.5607157
Altavilla Vicentina,1,45.5084288,11.4706863
Sardegna,6,40.06160405,9.09775380655307
Victoria,7,-36.5986096,144.6780052
Middlesex;,1,42.485452,-71.3968261
NY 10001,7,40.7505185866707,-73.9934941087372
Southern Germany,6,50.8331217,14.7962388
Buenos Aires,3,-34.6075616,-58.437076
Sverige,2,59.6749712,14.5208584
Danmark,5,55.670249,10.3333283
United States Virgin Islands,1,17.789187,-64.7080574
Mexco,1,34.0355942,-5.0044848
NSW,13,-31.8759835,147.2869493
South American rainforest,2,37.73413335,-122.501020620454
Central Connecticut State University,1,41.6931989,-72.7653794677624
Leeds,1,53.7974185,-1.5437941
ACT,2,-35.4883502,149.0026942
Svalbard Arctic,1,78.9233996,11.93225
23100 Avenue San Luis,1,34.161561041406,-118.6306478785
North Sea,30,56.74123355,2.89117171668805
Killara,1,-33.7660606,151.1601121
Kerala India,1,10.3529588,76.5119752
City of stoke on trent sixth form college,1,53.006213,-2.17782496621136
London W4 2PJ,1,51.4866294493129,-0.249075378751756
USA 90026,1,34.0737086790309,-118.264582401243
UT 84116,1,40.7980881583739,-111.935742844232
IL USA,1,39.7837304,-100.4458825
Marlia/SP,1,45.1114448,4.7544976
Senja,2,69.30405,17.459103718359
Manukau Harbour,1,-37.08645205,174.728852211961
Australia to Indonesia,1,-6.3287951,106.9566826
South Pacific Islands,1,22.24455385,114.204652521451
Dubai,4,25.0750095,55.1887608818332
Dorset,1,50.75,-2.333333
Bering Sea,6,60.0000001,-175.0000001
West Africa,11,11.5024338,17.7578122
Pitcairn Island,6,-25.0657719,-130.1017823
Timor-Leste,1,-8.5151979,125.8375756
Capurso,1,41.05032,16.9167417
denmark,2,55.670249,10.3333283
Catalonia,17,41.8523094,1.5745043
Wissahickon Valley Park,1,40.1242551,-75.2196684376598
Congo,17,-0.7264327,15.6419155
Cumbernauld,2,55.9477764,-3.9882568
Comoros,5,-12.2045176,44.2832964
90064,1,34.0487031059514,-118.374183343818
Georgia USA,3,32.3293809,-83.1137366
Niue,4,-19.0536414,-169.8613411
Republic of Malta,5,35.8885993,14.4476911
Bavaria Germany,1,48.9467562,11.4038717
VA,2,13.2904027,108.4265113
South Georgia,3,-54.4315,-36.618593125
marocco,1,31.1728205,-7.3362482
Kiribati,12,0.4483283,-171.6645388
Mirik,1,39.6887059,46.3326941
US Virgin Islands,5,17.789187,-64.7080574
United Kingdom,5,54.7023545,-3.2765753
Ontario. Canada,1,50.000678,-86.000977
Solomon Islands,26,-9.7354344,162.8288542
WA 99207,1,47.6938926874683,-117.397012623647
Caroline Islands,1,8.0,147.0
Kingswood Estate,1,-25.7996931,28.2734554132842
Ajmer,5,26.4691,74.639
Sri lanka,9,7.5554942,80.7137847
Argentinia,2,-34.9964963,-64.9672817
Maharashtra,5,19.531932,76.0554568
BC,12,55.001251,-125.002441
Sardinia,1,40.06160405,9.09775380655307
Papago State Park Amphitheater,1,33.461459,-111.944852035377
CA USA,5,36.7014631,-118.7559974
French Guyana,6,6.8246178,-58.1346149
Rajasthan,4,26.8105777,73.7684549
Czechia,3,49.8167003,15.4749544
Espaa,2,63.3422814,10.5414481
NY,5,43.1561681,-75.8449946
france,1,46.603354,1.8883335
Orissa India,7,20.5431241,84.6897321
Central Java,2,-7.3032412,110.0044145
San Miguel El Salvador,1,13.4803899,-88.17722
CA 91304,1,34.2192986660677,-118.613054298166
VA 23836,2,37.3669238,-77.3308669
NY 10019,1,13.524834,2.109823
Kansas,1,38.27312,-98.5821872
North West England,1,54.06809245,-2.68525312594421
American Samoa,13,-14.30063095,-170.695974791655
NY 11570,1,13.524834,2.109823
Belgique,9,50.6402809,4.6667145
Mascarene Islands,1,-21.13071845,55.5364584940597
GA,1,-0.8999695,11.6899699
Hati,2,19.1399952,-72.3570972
Oregon USA,3,43.9792797,-120.737257
Burundi,25,-3.3634357,29.8870575
Sao Paulo So Paulo Brazil,3,-23.5506507,-46.6333824
Sweden.,2,59.6749712,14.5208584
S/S Lusitania,3,5.8557406,-73.4115633
London. England. UK,1,51.5073219,-0.1276474
Dhaka Bangladesh,1,23.7593572,90.3788136
NY 11237,2,13.524834,2.109823
CA 93514,3,37.3666581,-118.39818835
Midway Islands,6,28.2417536,-177.3754308
Colorado USA,3,38.7251776,-105.6077167
Mekong River,3,11.6602146,104.9589344
Republic of Macedonia,9,41.6171214,21.7168387
4 Heart Studio,3,14.63456885,121.042829053582
Switerland,1,47.6792236,8.6177811
Nova Scotia,2,45.1960403,-63.1653789
Bucharest,3,44.4361414,26.1027202
Martinique,7,14.6113732,-60.9620777
Fiji Islands,6,-18.1239696,179.0122737
Bosinia and Herzegovina,2,44.3053476,17.5961467
Merseyside,1,53.4953602,-2.97393796008601
Lesser Antilles,3,12.8,-61.28
Florida. USA,2,27.7567667,-81.4639835
CA,21,61.0666922,-107.9917071
Texas USA,5,31.8160381,-99.5120986
West Yorkshire,3,53.7414271,-1.72020037667772
Texas,3,31.8160381,-99.5120986
Barnstaple Town,1,51.0804057,-4.0600467
Brooklyn New York,3,40.6501038,-73.9495823
Ilocos Sur Provincial Capitol,1,17.57585425,120.38648145
Turkmenistan,14,39.3763807,59.3924609
Suriname,31,4.1413025,-56.0771187
West Indies,14,50.83635905,0.462002592181029
Arctic Ocean,13,83.0,-170.0
Origgio,1,45.5976933,9.0180613
WA,6,47.2868352,-120.2126139
B.C. Mexico,2,19.5153434,-96.8545753
Vicenza,1,45.5488306,11.5478825
Kharagpur Railway Station,1,22.34309,87.3012875
le-de-France 75011 France,3,48.7215525,1.27966135969016
Copenhagen,2,55.6867243,12.5700724
Seine-Saint-Denis,2,48.9098125,2.4528634806147
South of France,17,40.831752,-73.8662124
Le Cirque d'Hiver,1,48.86354715,2.36757893670133
Florida USA,11,27.7567667,-81.4639835
USA and Canada,1,36.0696054,-106.3237938
Intia,1,22.3511148,78.6677428
City of Bristol College - Bedminster Campus,1,51.4367393,-2.6042197
M/S Meteor,1,48.2662788,-118.2849964
1911 Hone Ave Bronx NY 10461,1,40.8511606,-73.8567332
Oregon,3,43.9792797,-120.737257
Republic of Georgia,7,35.0175124,34.0484215
Middlesex,1,42.485452,-71.3968261
Sicily,5,37.587794,14.155048
Gujarat,2,22.4134237,71.4986740758367
Virgin Islands,8,17.789187,-64.7080574
Borno,1,45.9473303,10.2064036
U.S.A.,10,19.5584043,-99.0277414
"Avonmore",1,53.5076815,-113.451615229467
Olde Town Arvada,1,39.79873195,-105.079771768073
The Miniature Studio,1,48.10600375,-1.67326737277897
Croazia,1,45.5643442,17.0118954
Marquesas Islands,2,-9.73116465,-138.97874707146
Carpathian Mountains,4,47.0005707,25.5017192
The Bahamas,16,24.7736546,-78.0000547
Trentino - Italy,2,46.102817,11.1295430998718
Cassadaga Hotel,1,28.96612405,-81.2366020841128
Republic of Panama,4,8.3096067,-81.3066246
land Islands,2,52.51702755,13.4041245276858
Antique Row Cafe,1,49.3373164,-124.3828026
Former USSR,8,42.6626611,24.9884756708449
Jerusalem to Damascus,1,31.7816619,35.2303496
Ky.,5,37.5726028,-85.1551411
Kentucky USA,4,37.5726028,-85.1551411
Ascension Island,2,-7.9461395,-14.3620561
MS Deutschland,2,51.5816076,14.3597256
Calgary Alberta Canada,9,51.02532675,-114.049868485806
Ascension and Tristan da Cunha,1,-37.2465,-12.4870384875
90650,1,65.0175853143649,25.5550929982237
Californa,2,48.1698493,-111.9336229
Osaka,1,34.6937569,135.5014539
Nambucca,1,51.5610436,-0.123648853449202
Anguilla,11,18.1954947,-63.0750234
Ohio,3,40.2253569,-82.6881395
Isle of Arran,1,55.5774222,-5.25216245715707
Michigan,5,43.6211955,-84.6824346
Tynemouth Blue Reef Aquarium,1,55.0277179,-1.43039706809161
Argentina.,6,-34.9964963,-64.9672817
Rouge Entertainment,1,48.8922927,2.3696698
Malzfabrik Berlin,1,52.4665456,13.365225746463
Games Academy,1,52.512379,13.4195798
Essonne,1,48.53034015,2.23929180566817
Quebec,3,52.4760892,-71.8258668
Catania,1,37.5022355,15.08738
India.,7,22.3511148,78.6677428
Pacific Islands,2,-17.6247511,-149.6083311
Greystone Pub,1,47.3119987,-122.3177808
Jayprabha Studio Kolhapur India,2,16.6885398,74.2287172
NY 11004,1,13.524834,2.109823
Nevada,2,39.5158825,-116.8537227
USS Franklin,1,43.2831471,-0.2682274
Omaha,1,41.2587317,-95.9378732
Cambridgeshire,4,52.333333,0.083333
Tenerife,1,28.2935785,-16.6214471211441
Tel Aviv,1,32.0804808,34.7805274
Richmond 3121 Victoria Australia,1,-37.8203955,145.0025153
Paris 75009,1,48.8566101,2.3514992
Iloilo City,4,10.7026718,122.5686136
Antigua & Barbuda,4,17.079128,-61.8222516
Ontario Canada,2,50.000678,-86.000977
Monastery,1,45.6093765,-61.6197489
FL 33455,1,27.0824537474555,-80.1483038585634
Northern Iran,2,35.8783811,50.9727737
Panama Canal Zone,1,8.9536841,-79.5376179437931
Pune,7,18.5203062,73.8543185
Tuvalu,13,-7.768959,178.1167698
YS Falls,1,18.1403216,-77.828221786701
Idaho USA,2,43.6447642,-114.0154071
Cook Island,2,24.6301555,-81.3762960679776
Sultanate of Oman,2,21.0000287,57.0036901
Panchkula,1,30.6975401,76.8551066
Athens,1,33.9597677,-83.376398
So Paulo - Brazil,1,-7.2522904,-37.0110042
Colorado Public Television,2,39.7567294,-104.9752878
London EC3,1,51.4893335,-0.144055090450224
FL,1,27.7567667,-81.4639835
Bronnoysund,1,65.4737042,12.2111915
Yading Daocheng,1,28.4696025,100.26973559941
Skidaway Island State Park,1,31.9559988,-81.054001445069
Equatorial Guinea,15,1.613172,10.5170357
MI,2,39.7837304,-100.4458825
East Germany,3,51.1461391,12.233285
Tasmania,8,-42.14220555,146.672351787847
CA 91101,1,34.1452576,-118.134076
Tokelau,2,-9.1676396,-171.8196878
Cincinnati Ohio,1,39.1014537,-84.5124602
African plains,1,55.9474118,-3.26534800696732
FL 32819,1,28.4555044966928,-81.473559582571
Kensington,2,51.4989948,-0.1991229
New York USA,4,40.7308619,-73.9871558
Harstine Island,1,47.23218155,-122.890040218514
Crandon International Raceway,1,45.5745554,-88.9408817
Santarm,1,47.0013308,28.8881828261254
North Lanarkshire,1,55.88319035,-3.94628219029502
Bhor,3,18.1508064,73.8430594
South America,3,-21.0002179,-61.0006565
Edmonton Alberta Canada,4,53.535411,-113.507996
La Paz Bolivia,1,-16.4956371,-68.1336346
Courthouse exterior,1,53.1821856,8.58230778941429
Berchem Sainte-Agathe,1,50.8639835,4.292702
EE,1,58.7523778,25.3319078
Queensland,4,-21.9182856,144.4588889
Kirkby Lonsdale,2,54.2018452,-2.5967366
Netherlands Guyana,1,53.20544,5.8105607
21st Street Cooperative,1,53.5499288,-2.76939795
Sicily. Italy,1,37.587794,14.155048
Arnhemsestraat 13 6971 AN Brummen,1,52.086297,6.1562172
Girard College,1,39.97384305,-75.172676119773
Beverley,1,53.8425488,-0.4315677
South Vietnam,1,20.1605017,105.875704259988
Michigan USA,5,43.6211955,-84.6824346
Western Cyprus,1,8.3908703,-13.1542326
Belfast Northern Ireland,2,54.5964411,-5.9302761
Bangaldesh,2,23.862984,90.2655759
Madrid,5,40.4167047,-3.7035825
NYC,3,40.7308619,-73.9871558
Malaysia.,2,2.3923759,112.8471939
Caribbean Sea,14,15.0000001,-75.0000001
Frederiksborg Castle,1,55.9351046,12.3017434902778
The Czech Republic,2,49.8167003,15.4749544
Chilean Patagonia,1,-51.7343657,-72.4875749
Grovehill,1,51.77679785,-0.452921174468756
Gemeentelijk Zwembad Aartselaar,1,51.1385885,4.40070835058111
ON,2,50.000678,-86.000977
Illinois USA,6,40.0796606,-89.4337288
Bosnia and Hercegovina,2,44.3053476,17.5961467
Torquay,1,50.4652392,-3.5211361
Bremen,1,53.0758196,8.8071646
Jaisalmer Fort,1,26.9127655,70.9124932870455
Ile de France,6,48.6443057,2.7537863
CA 91767,1,34.080501056076,-117.737833052426
Micronesia,13,5.5600565,150.1982846
CA 93001,1,34.3620819,-119.4473943
Mountain Snowdonia,1,52.9155626,-3.83260129263342
Beilen,1,52.8623107,6.49377391958918
Havana Cuba,3,22.1883069,113.5493076
le-de-France 75010 France,3,48.7215525,1.27966135969016
